Mem: 1856256K used, 141760K free, 71424K shrd, 12032K buff, 207552K cached
CPU:  43% usr  39% sys   0% nic   8% idle   0% io   8% irq   0% sirq
Load average: 6.62 5.32 2.75 21/849 11643
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  432   254 root     S    4987m 253%  13% /lib/firmware/TDA4_A72_demo_gac_a09.out
Load average: 7.32 5.51 2.84 17/849 13057
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 2776     1 root     S    2070m 105%  11% ./mv_avm
  432   254 root     S    4987m 253%  10% /lib/firmware/TDA4_A72_demo_gac_a09.out
 3701     1 root     S    1321m  67%   9% ./mv_fusion
 3937     1 root     S    1719m  87%   9% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
 3190     1 root     S    1682m  85%   6% ./mv_decision
  545   530 root     S    1112m  56%   5% TDA4_A72_met_vehinfo.out
  547   530 root     R    32.0t1703949%   4% met_hmi_service
 4543     1 root     S     868m  44%   4% ./TDA4_A72_gac_raeb_09.out
 4535     1 root     S    1235m  63%   4% ./mv_calib
 3448     1 root     S    1445m  73%   3% ./mv_plan
  544   530 root     S    20160   1%   3% perception
  543   530 root     S     298m  15%   3% Fusion
 4858     1 root     S     771m  39%   2% ./A09_RaLog
   25     2 root     IW       0   0%   2% [kworker/0:1-eve]
  440     1 root     S    1185m  60%   2% ./fas_someipd
  548   530 root     S    1414m  72%   1% TDA4_A72_met_adas.out
  546   530 root     S     227m  12%   1% met_draw_client_v2.out
  542   530 root     S    18112   1%   1% VSE
11620  5151 root     R     3456   0%   1% top -b -d 1
    9     2 root     SW       0   0%   1% [ksoftirqd/0]
  380     2 root     SW       0   0%   1% [jbd2/mmcblk0p11]
 2002     1 root     S     176m   9%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 2878     1 root     S    79168   4%   0% /bin/ntpd
  534   530 root     S    73728   4%   0% RM 0
  538   530 root     S    44800   2%   0% calibration
  530     1 root     S    27328   1%   0% ./met_ipc_master.out
  539   530 root     S    20480   1%   0% LSR
  541   530 root     S    19584   1%   0% ST
  533   530 root     S    19328   1%   0% met_adas_init.out
  540   530 root     S    18624   1%   0% COR
  535   530 root     S    18560   1%   0% GO
  536   530 root     S    18304   1%   0% TLR
  537   530 root     S    18304   1%   0% TSR
 6287  6269 root     S     5504   0%   0% /usr/libexec/sftp-server
  253   251 root     S     5056   0%   0% /bin/login -f
19500  5151 root     T     3456   0%   0% top -b -d 1
  254   253 root     S     3456   0%   0% -sh
  338     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
 5151   338 root     S     3456   0%   0% /bin/sh
30458   338 root     S     3456   0%   0% /bin/sh
 6269  5498 root     S     3328   0%   0% /usr/sbin/dropbear -B
  252     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
  243     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  246     1 root     S     3328   0%   0% /sbin/klogd -n
  251     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
 5498     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
   10     2 root     IW       0   0%   0% [rcu_preempt]
 3473     2 root     IW       0   0%   0% [kworker/u4:3-pv]
  113     2 root     IW       0   0%   0% [kworker/1:4-mm_]
16668     2 root     IW       0   0%   0% [kworker/u4:4-pv]
  971     2 root     IW       0   0%   0% [kworker/u4:5-ev]
    7     2 root     IW       0   0%   0% [kworker/u4:0-ev]
  104     2 root     IW       0   0%   0% [kworker/1:2-eve]
  118     2 root     IW       0   0%   0% [kworker/u4:2-ev]
  261     2 root     SWN      0   0%   0% [pvr_defer_free]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
   98     2 root     SW       0   0%   0% [kswapd0]
  119     2 root     IW       0   0%   0% [kworker/0:2-pm]
  265     2 root     IW       0   0%   0% [kworker/0:4-pm]
 2778     2 root     IW<      0   0%   0% [kworker/1:2H-kb]
  904     2 root     IW<      0   0%   0% [kworker/0:2H-kb]
  420     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  121     2 root     IW<      0   0%   0% [kworker/0:1H-kb]
  263     2 root     SW<      0   0%   0% [pvr_cacheop]
  434   254 root     Z        0   0%   0% [sh]
 7561     2 root     IW       0   0%   0% [kworker/u4:1-ev]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  106     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  107     2 root     SW       0   0%   0% [scsi_eh_0]
  108     2 root     IW<      0   0%   0% [scsi_tmf_0]
  109     2 root     SW       0   0%   0% [ptp0]
  110     2 root     SW       0   0%   0% [irq/191-310d000]
  111     2 root     IW<      0   0%   0% [sdhci]
  112     2 root     SW       0   0%   0% [irq/15-mmc0]
  114     2 root     IW<      0   0%   0% [sdhci]
  115     2 root     SW       0   0%   0% [irq/16-mmc1]
  116     2 root     IW<      0   0%   0% [mmc_complete]
  122     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  123     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  260     2 root     IW<      0   0%   0% [pvr_timer]
  262     2 root     SW       0   0%   0% [pvr_device_wdg]
  264     2 root     IW<      0   0%   0% [pvr_fce_status]
  273     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  351     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  352     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  368     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  370     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  371     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  377     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  378     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  381     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  383     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  384     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  386     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  387     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  395     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  396     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  398     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  399     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  401     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  402     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  404     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  405     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  407     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  408     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  410     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  411     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  417     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  418     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  421     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  423     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
  424     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  426     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  427     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  429     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  430     2 root     IW<      0   0%   0% [ext4-rsv-conver]
 2931     2 root     IW<      0   0%   0% [pvr_misr]
 2932     2 root     IW<      0   0%   0% [pvr_misr]
 9289     2 root     IW       0   0%   0% [kworker/u4:6-ev]
21990     2 root     IW<      0   0%   0% [kworker/1:1H]
26390     2 root     IW<      0   0%   0% [kworker/0:0H]
Mem: 1825216K used, 172800K free, 71424K shrd, 11776K buff, 175616K cached
CPU:  48% usr  26% sys   0% nic  15% idle   0% io   6% irq   3% sirq
Load average: 7.32 5.51 2.84 19/849 13213
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 2776     1 root     S    2070m 105%  11% ./mv_avm
  432   254 root     S    4987m 253%  10% /lib/firmware/TDA4_A72_demo_gac_a09.out
 3937     1 root     S    1719m  87%  10% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
 3701     1 root     R    1321m  67%   9% ./mv_fusion
 3190     1 root     S    1682m  85%   6% ./mv_decision
  545   530 root     R    1112m  56%   5% TDA4_A72_met_vehinfo.out
 4535     1 root     S    1235m  63%   4% ./mv_calib
 4543     1 root     S     868m  44%   4% ./TDA4_A72_gac_raeb_09.out
  547   530 root     R    32.0t1703949%   3% met_hmi_service
 3448     1 root     S    1445m  73%   3% ./mv_plan
  544   530 root     S    20160   1%   3% perception
   25     2 root     IW       0   0%   3% [kworker/0:1-eve]
  440     1 root     S    1185m  60%   2% ./fas_someipd
 4858     1 root     S     771m  39%   2% ./A09_RaLog
  543   530 root     S     298m  15%   2% Fusion
  548   530 root     S    1414m  72%   1% TDA4_A72_met_adas.out
 2002     1 root     S     176m   9%   1% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 2878     1 root     S    79168   4%   1% /bin/ntpd
  542   530 root     R    18112   1%   1% VSE
    9     2 root     SW       0   0%   1% [ksoftirqd/0]
  546   530 root     S     227m  12%   0% met_draw_client_v2.out
  534   530 root     S    73728   4%   0% RM 0
  538   530 root     S    44800   2%   0% calibration
  530     1 root     S    27328   1%   0% ./met_ipc_master.out
  539   530 root     S    20480   1%   0% LSR
  541   530 root     S    19584   1%   0% ST
  533   530 root     S    19328   1%   0% met_adas_init.out
  540   530 root     S    18624   1%   0% COR
  535   530 root     S    18560   1%   0% GO
  536   530 root     S    18304   1%   0% TLR
  537   530 root     S    18304   1%   0% TSR
 6287  6269 root     S     5504   0%   0% /usr/libexec/sftp-server
  253   251 root     S     5056   0%   0% /bin/login -f
19500  5151 root     T     3456   0%   0% top -b -d 1
11620  5151 root     R     3456   0%   0% top -b -d 1
  254   253 root     S     3456   0%   0% -sh
  338     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
 5151   338 root     S     3456   0%   0% /bin/sh
30458   338 root     S     3456   0%   0% /bin/sh
 6269  5498 root     S     3328   0%   0% /usr/sbin/dropbear -B
  252     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
  243     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  246     1 root     S     3328   0%   0% /sbin/klogd -n
  251     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
 5498     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
   10     2 root     IW       0   0%   0% [rcu_preempt]
 3473     2 root     IW       0   0%   0% [kworker/u4:3-ev]
  113     2 root     IW       0   0%   0% [kworker/1:4-eve]
16668     2 root     IW       0   0%   0% [kworker/u4:4-ev]
  971     2 root     IW       0   0%   0% [kworker/u4:5-ev]
    7     2 root     IW       0   0%   0% [kworker/u4:0-pv]
  104     2 root     IW       0   0%   0% [kworker/1:2-eve]
  118     2 root     IW       0   0%   0% [kworker/u4:2-ev]
  261     2 root     SWN      0   0%   0% [pvr_defer_free]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
   98     2 root     SW       0   0%   0% [kswapd0]
  119     2 root     IW       0   0%   0% [kworker/0:2-pm]
  265     2 root     IW       0   0%   0% [kworker/0:4-pm]
 2778     2 root     IW<      0   0%   0% [kworker/1:2H-kb]
  380     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
  904     2 root     IW<      0   0%   0% [kworker/0:2H-kb]
  420     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  121     2 root     IW<      0   0%   0% [kworker/0:1H-kb]
  263     2 root     SW<      0   0%   0% [pvr_cacheop]
  434   254 root     Z        0   0%   0% [sh]
 7561     2 root     IW       0   0%   0% [kworker/u4:1-ev]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  106     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  107     2 root     SW       0   0%   0% [scsi_eh_0]
  108     2 root     IW<      0   0%   0% [scsi_tmf_0]
  109     2 root     SW       0   0%   0% [ptp0]
  110     2 root     SW       0   0%   0% [irq/191-310d000]
  111     2 root     IW<      0   0%   0% [sdhci]
  112     2 root     SW       0   0%   0% [irq/15-mmc0]
  114     2 root     IW<      0   0%   0% [sdhci]
  115     2 root     SW       0   0%   0% [irq/16-mmc1]
  116     2 root     IW<      0   0%   0% [mmc_complete]
  122     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  123     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  260     2 root     IW<      0   0%   0% [pvr_timer]
  262     2 root     SW       0   0%   0% [pvr_device_wdg]
  264     2 root     IW<      0   0%   0% [pvr_fce_status]
  273     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  351     2 root     DW       0   0%   0% [jbd2/mmcblk0p7-]
  352     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  368     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  370     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  371     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  377     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  378     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  381     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  383     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  384     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  386     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  387     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  395     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  396     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  398     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  399     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  401     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  402     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  404     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  405     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  407     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  408     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  410     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  411     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  417     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  418     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  421     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  423     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
  424     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  426     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  427     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  429     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  430     2 root     IW<      0   0%   0% [ext4-rsv-conver]
 2931     2 root     IW<      0   0%   0% [pvr_misr]
 2932     2 root     IW<      0   0%   0% [pvr_misr]
 9289     2 root     IW       0   0%   0% [kworker/u4:6-ev]
21990     2 root     IW<      0   0%   0% [kworker/1:1H]
26390     2 root     IW<      0   0%   0% [kworker/0:0H]
Mem: 1825984K used, 172032K free, 71424K shrd, 11776K buff, 176320K cached
CPU:  44% usr  31% sys   0% nic  13% idle   0% io   6% irq   3% sirq
Load average: 7.32 5.51 2.84 3/849 13368
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 2776     1 root     S    2070m 105%  11% ./mv_avm
  432   254 root     S    4987m 253%  10% /lib/firmware/TDA4_A72_demo_gac_a09.out
 3937     1 root     S    1719m  87%   9% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
 3701     1 root     S    1321m  67%   9% ./mv_fusion
 3190     1 root     S    1682m  85%   6% ./mv_decision
  545   530 root     S    1112m  56%   5% TDA4_A72_met_vehinfo.out
 4535     1 root     S    1235m  63%   4% ./mv_calib
 4543     1 root     S     868m  44%   4% ./TDA4_A72_gac_raeb_09.out
  547   530 root     S    32.0t1703949%   4% met_hmi_service
 3448     1 root     S    1445m  73%   4% ./mv_plan
  544   530 root     S    20160   1%   3% perception
  543   530 root     S     298m  15%   3% Fusion
 4858     1 root     S     771m  39%   2% ./A09_RaLog
   25     2 root     RW       0   0%   2% [kworker/0:1-eve]
  440     1 root     S    1185m  60%   2% ./fas_someipd
 2002     1 root     S     176m   9%   1% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
  548   530 root     S    1414m  72%   1% TDA4_A72_met_adas.out
  546   530 root     S     227m  12%   1% met_draw_client_v2.out
  542   530 root     S    18112   1%   1% VSE
11620  5151 root     R     3456   0%   1% top -b -d 1
    9     2 root     SW       0   0%   1% [ksoftirqd/0]
   10     2 root     IW       0   0%   1% [rcu_preempt]
 2878     1 root     S    79168   4%   0% /bin/ntpd
  534   530 root     S    73728   4%   0% RM 0
  538   530 root     S    44800   2%   0% calibration
  530     1 root     S    27328   1%   0% ./met_ipc_master.out
  539   530 root     S    20480   1%   0% LSR
  541   530 root     S    19584   1%   0% ST
  533   530 root     S    19328   1%   0% met_adas_init.out
  540   530 root     S    18624   1%   0% COR
  535   530 root     S    18560   1%   0% GO
  536   530 root     S    18304   1%   0% TLR
  537   530 root     S    18304   1%   0% TSR
 6287  6269 root     S     5504   0%   0% /usr/libexec/sftp-server
  253   251 root     S     5056   0%   0% /bin/login -f
19500  5151 root     T     3456   0%   0% top -b -d 1
  254   253 root     S     3456   0%   0% -sh
  338     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
 5151   338 root     S     3456   0%   0% /bin/sh
30458   338 root     S     3456   0%   0% /bin/sh
 6269  5498 root     S     3328   0%   0% /usr/sbin/dropbear -B
  252     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
  243     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  246     1 root     S     3328   0%   0% /sbin/klogd -n
  251     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
 5498     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
 3473     2 root     IW       0   0%   0% [kworker/u4:3-pv]
  113     2 root     IW       0   0%   0% [kworker/1:4-mm_]
16668     2 root     IW       0   0%   0% [kworker/u4:4-ev]
  971     2 root     IW       0   0%   0% [kworker/u4:5-ev]
    7     2 root     IW       0   0%   0% [kworker/u4:0-ev]
  104     2 root     IW       0   0%   0% [kworker/1:2-eve]
  118     2 root     IW       0   0%   0% [kworker/u4:2-ev]
  261     2 root     SWN      0   0%   0% [pvr_defer_free]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
   98     2 root     SW       0   0%   0% [kswapd0]
  119     2 root     IW       0   0%   0% [kworker/0:2-pm]
  265     2 root     IW       0   0%   0% [kworker/0:4-pm]
 2778     2 root     IW<      0   0%   0% [kworker/1:2H-kb]
  380     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
  904     2 root     IW<      0   0%   0% [kworker/0:2H-kb]
  420     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  121     2 root     IW<      0   0%   0% [kworker/0:1H-kb]
  263     2 root     SW<      0   0%   0% [pvr_cacheop]
  434   254 root     Z        0   0%   0% [sh]
 7561     2 root     IW       0   0%   0% [kworker/u4:1-ev]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  106     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  107     2 root     SW       0   0%   0% [scsi_eh_0]
  108     2 root     IW<      0   0%   0% [scsi_tmf_0]
  109     2 root     SW       0   0%   0% [ptp0]
  110     2 root     SW       0   0%   0% [irq/191-310d000]
  111     2 root     IW<      0   0%   0% [sdhci]
  112     2 root     SW       0   0%   0% [irq/15-mmc0]
  114     2 root     IW<      0   0%   0% [sdhci]
  115     2 root     SW       0   0%   0% [irq/16-mmc1]
  116     2 root     IW<      0   0%   0% [mmc_complete]
  122     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  123     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  260     2 root     IW<      0   0%   0% [pvr_timer]
  262     2 root     SW       0   0%   0% [pvr_device_wdg]
  264     2 root     IW<      0   0%   0% [pvr_fce_status]
  273     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  351     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  352     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  368     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  370     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  371     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  377     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  378     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  381     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  383     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  384     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  386     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  387     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  395     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  396     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  398     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  399     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  401     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  402     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  404     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  405     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  407     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  408     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  410     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  411     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  417     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  418     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  421     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  423     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
  424     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  426     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  427     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  429     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  430     2 root     IW<      0   0%   0% [ext4-rsv-conver]
 2931     2 root     IW<      0   0%   0% [pvr_misr]
 2932     2 root     IW<      0   0%   0% [pvr_misr]
 9289     2 root     IW       0   0%   0% [kworker/u4:6-ev]
